Rank,Name,State,Type,Admit,Grad4,Cost,NeedAid,NonNeedAid,NNApercent,GradDebt,Salary,Year
78,"Kalamazoo College, Kalamazoo",MI,Liberal Arts,70,77,52552,26990,16358,85,28405,49400,2019
79,"Wake Forest University, Winston-Salem",NC,Private,34,83,62078,35551,16055,10,34745,61000,2019
80,"Ohio State University, Columbus",OH,Public,53,62,40279,9335,6418,29,26830,42600,2019
81,"State University of New York College at Geneseo, Geneseo",NY,Public,59,66,30943,5718,2790,20,23308,46700,2019
82,"Franklin & Marshall College, Lancaster",PA,Liberal Arts,39,83,64570,39564,12636,3,27474,54800,2019
83,"University of Michigan, Ann Arbor",MI,Public,32,76,54078,15050,7536,25,26510,57900,2019
84,"Florida State University, Tallahassee",FL,Public,55,61,32737,4940,2282,10,24347,44000,2019
85,"Binghamton University, State University of New York, Vestal",NY,Public,44,68,36371,8065,7237,5,25727,58400,2019
86,"Bryn Mawr College, Bryn Mawr",PA,Liberal Arts,40,76,62990,36402,10833,10,24466,50400,2019
87,"Gustavus Adolphus College, St. Peter",MN,Liberal Arts,61,81,51696,26393,16668,100,36636,50100,2019
88,"Trinity University, San Antonio",TX,Private,48,72,51218,25809,16583,81,35318,53200,2019
89,"DePauw University, Greencastle",IN,Liberal Arts,61,75,57278,30895,16764,91,27005,47800,2019
90,"University of Southern California, Los Angeles",CA,Private,18,76,65632,30656,19014,27,28541,66100,2019
91,"University of Illinois at UrbanaChampaign, Champaign",IL,Public,59,69,42996,13591,4736,19,23808,56600,2019
92,"University of Georgia, Athens",GA,Public,56,61,40122,8752,2161,11,21638,46500,2019
93,"Berea College, Berea",KY,Liberal Arts,34,45,7680,3882,0,0,6186,34400,2019
94,"Clark University, Worcester",MA,Private,54,72,50940,25826,16362,68,24990,44100,2019
95,"New Mexico Institute of Mining and Technology, Socorro",NM,Public,36,22,27789,5509,6651,54,20944,52800,2019
96,"University of Rochester, Rochester",NY,Private,36,73,63966,35076,13617,53,30604,55500,2019
97,"Dickinson College, Carlisle",PA,Liberal Arts,48,81,62941,32786,10151,31,25392,52100,2019
98,"Illinois Wesleyan University, Bloomington",IL,Liberal Arts,60,75,53086,23480,15760,91,32101,54600,2019
99,"Gettysburg College, Gettysburg",PA,Liberal Arts,45,80,61400,32458,12401,42,27714,52200,2019
100,"College of Wooster, Wooster",OH,Liberal Arts,59,70,56600,29657,19329,89,24506,44400,2019
101,"Reed College, Portland",OR,Liberal Arts,39,67,63580,39329,0,0,19151,36200,2019
102,"Elon University, Elon",NC,Private,54,76,44070,13722,6603,28,27176,44500,2019
103,"Santa Clara University, Santa Clara",CA,Private,49,78,60489,23155,13120,43,26759,67700,2019
104,"Rhodes College, Memphis",TN,Liberal Arts,60,76,55095,26183,18642,84,27077,50300,2019
105,"University of Washington, Seattle",WA,Public,55,61,46659,15000,5500,5,21532,52100,2019
106,"Connecticut College, New London",CT,Liberal Arts,38,78,63965,35885,0,0,28321,51000,2019
107,"Occidental College, Los Angeles",CA,Liberal Arts,42,80,64446,35661,9928,30,30427,50100,2019
108,"Bentley University, Waltham",MA,Private,46,83,59805,29025,16761,33,30602,74900,2019
109,"Union College, Schenectady",NY,Liberal Arts,41,80,63774,33915,9025,53,29586,61800,2019
110,"College of New Jersey, Ewing",NJ,Public,49,73,40085,12074,5330,14,33635,56800,2019
111,"Yeshiva University, New York",NY,Private,82,59,52004,26232,21840,36,24101,55600,2019
112,"Creighton University, Omaha",NE,Private,73,71,47916,22665,14200,68,33428,57800,2019
113,"Trinity College, Hartford",CT,Liberal Arts,33,79,64920,41684,24836,6,28237,56100,2019
114,"Brandeis University, Waltham",MA,Private,35,85,64454,32276,17895,10,28855,58800,2019
115,"Hope College, Holland",MI,Liberal Arts,82,70,40850,18044,8286,56,31717,43300,2019
116,"Wofford College, Spartanburg",SC,Liberal Arts,77,71,51085,29598,15057,65,24999,46800,2019
117,"New College of Florida, Sarasota",FL,Public,60,57,40076,8481,2293,80,17553,0,2019
118,"Baruch College of the City University of New York, New York",NY,Public,28,35,34968,6870,5005,1,7737,54000,2019
119,"Villanova University, Villanova",PA,Private,49,85,61273,29629,14067,11,35122,73700,2019
120,"Georgia Institute of Technology, Atlanta",GA,Public,33,37,43912,9522,4367,11,24891,74000,2019
121,"Muhlenberg College, Allentown",PA,Liberal Arts,53,81,57825,26007,11792,58,29702,56000,2019
122,"Drake University, Des Moines",IA,Private,69,70,44392,16669,12889,72,31546,55700,2019
123,"University of Miami, Coral Gables",FL,Private,38,69,59720,25950,18846,35,26793,52400,2019
124,"University of Pittsburgh, Pittsburgh",PA,Public,53,65,40620,8085,11460,5,36466,48200,2019
125,"Furman University, Greenville",SC,Liberal Arts,69,80,58734,31665,17166,68,25903,47500,2019
126,"George Washington University, Washington",DC,Private,44,72,63760,29917,18756,36,31128,64500,2019
127,"Transylvania University, Lexington",KY,Liberal Arts,83,63,44930,22883,15372,93,28079,41100,2019
128,"University of South Florida, Tampa",FL,Public,47,39,27925,6897,2585,11,22719,41700,2019
129,"California State University, Long Beach, Long Beach",CA,Public,36,15,25768,6538,2356,17,16579,46900,2019
130,"Case Western Reserve University, Cleveland",OH,Private,38,64,59610,26983,22087,61,33343,67000,2019
131,"University of California, San Diego, La Jolla",CA,Public,33,57,51825,17624,9195,4,21790,59600,2019
132,"University of California, Santa Barbara, Santa Barbara",CA,Public,36,69,54271,17948,12066,4,21045,52000,2019
133,"Appalachian State University, Boone",NC,Public,63,44,29222,8057,2768,5,21693,36600,2019
134,"Lawrence University, Appleton",WI,Liberal Arts,73,66,53850,29111,18007,80,33755,42800,2019
135,"Knox College, Galesburg",IL,Liberal Arts,68,73,51759,27887,15785,83,29085,41600,2019
136,"University of Texas at Austin, Austin",TX,Public,40,52,46882,9118,6047,2,27207,52800,2019
137,"Stony Brook University, State University of New York, Stony Brook",NY,Public,41,48,36867,7261,4230,8,24884,55500,2019
138,"Miami University, Oxford",OH,Public,66,66,43771,8754,7043,45,28887,45800,2019
139,"Drury University, Springfield",MO,Private,81,46,34495,14987,8263,77,25336,32200,2019
140,"St. Lawrence University, Canton",NY,Liberal Arts,48,78,62865,31636,20225,76,26792,45500,2019
141,"Virginia Polytechnic Institute and State University, Blacksburg",VA,Public,69,61,38525,6736,3526,19,27865,57900,2019
142,"Pepperdine University, Malibu",CA,Private,35,75,63652,37293,18974,31,31884,61400,2019
143,"University of Connecticut, Storrs",CT,Public,50,67,47932,8754,6519,23,24999,53900,2019
144,"Clemson University, Clemson",SC,Public,53,61,42826,8590,5280,45,30213,49400,2019
145,"Purdue University, West Lafayette",IN,Public,59,46,40054,11744,6697,17,28343,52600,2019
146,"Agnes Scott College, Decatur",GA,Liberal Arts,68,73,49386,27245,22131,70,27763,39400,2019
147,"Gonzaga University, Spokane",WA,Private,68,73,49917,19305,12083,87,29513,52800,2019
148,"University of Texas at Dallas, Richardson",TX,Public,62,51,42472,8592,11813,26,19613,49500,2019
149,"Emerson College, Boston",MA,Private,49,77,57752,17140,14675,18,23606,44800,2019
150,"Lewis & Clark College, Portland",OR,Liberal Arts,67,71,57012,29334,13382,54,26556,43400,2019
151,"Beloit College, Beloit",WI,Liberal Arts,69,71,53940,25688,17256,73,28768,37900,2019
152,"Stevens Institute of Technology, Hoboken",NJ,Private,44,40,61690,13308,17765,78,26722,82800,2019
153,"University of Minnesota, Morris, Morris",MN,Public,64,54,21550,9880,3727,26,24538,38800,2019
154,"Rutgers University — New Brunswick, Piscataway",NJ,Public,60,59,42925,10995,8276,4,25228,54800,2019
155,"Franciscan University of Steubenville, Steubenville",OH,Private,78,61,34280,9988,5438,55,32443,35500,2019
156,"Cornell College, Mount Vernon",IA,Liberal Arts,74,64,47389,23447,18292,89,25004,41900,2019
157,"Carnegie Mellon University, Pittsburgh",PA,Private,25,72,65895,30068,10867,6,31905,72000,2019
158,"Earlham College, Richmond",IN,Liberal Arts,65,65,54710,30350,12143,32,27421,32300,2019
159,"Boston University, Boston",MA,Private,35,80,63956,29854,17594,11,39166,60600,2019
160,"Christendom College, Front Royal",VA,Liberal Arts,91,66,34410,8260,8785,46,31991,0,2019
161,"Goshen College, Goshen",IN,Liberal Arts,54,56,41800,20195,13569,62,26586,36300,2019
162,"Tulane University, New Orleans",LA,Private,28,70,64022,28233,21325,37,31653,52400,2019
163,"Augustana College, Rock Island",IL,Liberal Arts,54,71,49212,20527,16568,95,31612,49600,2019
164,"James Madison University, Harrisonburg",VA,Public,66,65,35414,7613,3172,1,23732,53400,2019
165,"Samford University, Birmingham",AL,Private,82,48,38770,14046,9636,67,26543,45800,2019
166,"Butler University, Indianapolis",IN,Private,68,62,50065,18704,11979,82,35797,52400,2019
167,"University of Delaware, Newark",DE,Public,66,68,44366,8991,7037,38,32705,54300,2019
168,"University of Portland, Portland",OR,Private,63,73,53112,21981,14965,83,26557,51700,2019
169,"College of Saint Benedict, Saint Joseph",MN,Liberal Arts,82,74,52075,25770,15708,78,39437,47600,2019
170,"St. Mary's College of Maryland, St. Mary's City",MD,Public,79,73,42025,10944,4021,30,24621,48200,2019
171,"Sarah Lawrence College, Bronxville",NY,Liberal Arts,53,71,66225,34650,16582,63,18483,39700,2019
172,"University of WisconsinLa Crosse, La Crosse",WI,Public,76,33,22659,5715,1583,4,25932,44100,2019
173,"Hunter College of the City University of New York, New York",NY,Public,35,22,32771,6547,3152,7,13000,44800,2019
174,"American University, Washington",DC,Private,46,76,58257,22757,13989,21,32546,55900,2019
175,"New York University, New York",NY,Private,35,72,66400,24246,7512,9,27977,58800,2019
176,"Hendrix College, Conway",AR,Liberal Arts,82,64,53214,28855,25756,91,30151,40500,2019
177,"University of Maryland, Baltimore County, Baltimore",MD,Public,60,34,35838,7957,7964,20,25435,53500,2019
178,"University of Central Florida, Orlando",FL,Public,50,40,33167,4953,3459,5,23378,43000,2019
179,"Luther College, Decorah",IA,Liberal Arts,71,74,48150,22197,16062,33,36918,42500,2019
180,"Texas A&M University, College Station",TX,Public,71,50,39553,9315,3354,19,25005,52900,2019
181,"University of Missouri, Columbia",MO,Public,78,46,36098,8783,5065,29,25321,46000,2019
182,"University of California, Irvine, Irvine",CA,Public,37,68,54154,17317,8541,6,20319,55800,2019
183,"Saint John's University, Collegeville",MN,Liberal Arts,79,72,50830,25274,15184,74,38089,55900,2019
184,"University of Alabama, Tuscaloosa",AL,Public,51,39,35950,9178,12209,30,29320,42400,2019
185,"College of the Atlantic, Bar Harbor",ME,Liberal Arts,71,57,52116,31578,9693,44,23926,27000,2019
186,"Siena College, Loudonville",NY,Liberal Arts,58,75,43272,17423,7106,55,32678,55100,2019
187,"University of Arkansas, Fayetteville",AR,Public,62,37,32706,6706,4895,19,24120,43600,2019
188,"University of Northern Iowa, Cedar Falls",IA,Public,54,38,27225,4351,3378,18,23163,41700,2019
189,"University of Tulsa, Tulsa",OK,Private,40,52,51401,5862,17829,64,29161,43200,2019
190,"William Jewell College, Liberty",MO,Liberal Arts,63,57,42010,19646,15269,46,29885,40300,2019
191,"State University of New York College at Oneonta, Oneonta",NY,Public,43,53,30762,4709,2827,19,15373,42400,2019
192,"University of Dayton, Dayton",OH,Private,59,59,52280,20508,12540,63,35278,52300,2019
193,"Millsaps College, Jackson",MS,Liberal Arts,57,62,49022,23363,20354,90,29021,45200,2019
194,"Southwestern University, Georgetown",TX,Liberal Arts,49,65,50258,26126,18514,91,30935,47200,2019
195,"Maryville University of Saint Louis, St. Louis",MO,Private,72,49,38998,14323,9559,32,31696,44500,2019
196,"State University of New York at New Paltz, New Paltz",NY,Public,42,55,30667,4840,1830,1,25874,46000,2019
197,"Marist College, Poughkeepsie",NY,Private,39,68,49000,15447,7619,46,34801,54400,2019
198,"University of Oklahoma, Norman",OK,Public,81,37,33932,5995,2108,14,23151,46600,2019
199,"Austin College, Sherman",TX,Liberal Arts,54,72,49273,25926,19297,34,36952,47600,2019
200,"Penn State University Park, University Park",PA,Public,50,66,44106,6987,3757,17,36935,47500,2019
201,"Houghton College, Houghton",NY,Liberal Arts,94,66,38956,11583,9046,16,26923,39200,2019
202,"Saint Louis University, St. Louis",MO,Private,60,61,51066,20291,13880,52,35615,55200,2019
203,"Illinois Institute of Technology, Chicago",IL,Private,51,28,56066,28262,19854,65,31907,68200,2019
204,"San Diego State University, San Diego",CA,Public,34,30,35766,9900,2300,8,18400,48700,2019
205,"University of North Florida, Jacksonville",FL,Public,61,26,31159,6060,2970,16,19253,41600,2019
206,"Oklahoma State University, Stillwater",OK,Public,75,35,30198,6615,5553,41,22591,43400,2019
207,"University of Science and Arts of Oklahoma, Chickasha",OK,Public,64,26,21880,8191,2779,26,20074,30700,2019
208,"Hobart and William Smith Colleges, Geneva",NY,Liberal Arts,50,74,62469,28390,15535,53,34209,48600,2019
209,"University of Massachusetts Amherst, Amherst",MA,Public,61,63,43717,9653,4310,20,30453,49600,2019
210,"University of North Carolina Wilmington, Wilmington",NC,Public,59,49,31105,2427,3853,0,25644,38700,2019
211,"University of California, Davis, Davis",CA,Public,41,54,54752,16993,5626,9,19705,57100,2019
212,"Marquette University, Milwaukee",WI,Private,67,59,49398,17782,10294,83,35211,55600,2019
213,"Missouri University of Science and Technology, Rolla",MO,Public,86,23,36494,7460,5080,17,27591,65500,2019
214,"University of Dallas, Irving",TX,Liberal Arts,85,63,48300,23392,16730,88,32755,45200,2019
215,"University at Buffalo, the State University of New York, Buffalo",NY,Public,58,53,38718,5427,6158,2,21228,49700,2019
216,"Iowa State University of Science and Technology, Ames",IA,Public,87,40,29960,6814,2916,52,28880,47200,2019
217,"University of North Carolina at Asheville, Asheville",NC,Public,73,38,31901,6628,2654,10,21105,36000,2019
218,"St. John's College, Annapolis",MD,Liberal Arts,87,67,60639,30564,19258,71,28730,34300,2019
219,"University of Denver, Denver",CO,Private,76,66,57620,28597,14724,58,29050,51400,2019
220,"Simmons College, Boston",MA,Private,52,67,52700,23636,14030,49,26000,51400,2019
221,"University of Tennessee, Knoxville",TN,Public,75,39,42150,8961,3685,24,23870,42300,2019
222,"Salisbury University, Salisbury",MD,Public,55,45,29742,5881,2322,21,24567,47300,2019
223,"Wabash College, Crawfordsville",IN,Liberal Arts,70,68,50340,23431,16631,5,30734,49900,2019
224,"Oklahoma City University, Oklahoma City",OK,Private,66,49,41908,16082,18931,50,27819,39400,2019
225,"Michigan State University, East Lansing",MI,Public,66,53,46902,9587,8241,11,26122,49800,2019
226,"Whitworth University, Spokane",WA,Private,75,65,50698,22974,16897,78,26132,41200,2019
227,"Mercer University, Macon",GA,Private,67,50,47110,24043,19145,74,30018,46600,2019
228,"University of Nebraska — Lincoln, Lincoln",NE,Public,70,33,33826,7097,6399,9,23395,43800,2019
229,"University of San Diego, San Diego",CA,Private,46,67,58392,24438,14025,27,30225,56300,2019
230,"Bradley University, Peoria",IL,Private,64,51,42380,15016,10012,70,27277,52400,2019
231,"Purchase College, State University of New York, Purchase",NY,Public,41,58,31900,6514,2040,14,26348,34700,2019
232,"University of South Carolina, Columbia",SC,Public,65,56,41712,5092,4924,51,28233,42100,2019
233,"Juniata College, Huntingdon",PA,Liberal Arts,74,72,52740,24997,18054,80,33421,45200,2019
234,"Union University, Jackson",TN,Private,69,59,39880,5886,12889,32,29187,37400,2019
235,"State University of New York at Plattsburgh, Plattsburgh",NY,Public,48,40,30194,6626,3457,33,28149,40600,2019
236,"Western Carolina University, Cullowhee",NC,Public,43,40,26714,6158,1780,8,23806,35100,2019
237,"Providence College, Providence",RI,Private,63,83,59730,22860,20050,31,32475,59600,2019
238,"Coe College, Cedar Rapids",IA,Liberal Arts,55,61,48590,25079,20313,64,31992,43800,2019
239,"Florida International University, Miami",FL,Public,48,24,31122,5671,1316,7,18519,45100,2019
240,"Wheaton College, Norton",MA,Liberal Arts,70,75,60805,31090,12486,71,29651,46400,2019
241,"Arizona State University at the Tempe campus, Tempe",AZ,Public,84,43,37600,9007,7688,34,21920,45200,2019
242,"St. John's College, Santa Fe",NM,Liberal Arts,81,42,60639,29288,10805,72,25570,32300,2019
243,"Christopher Newport University, Newport News",VA,Public,56,55,35678,5647,2219,18,29385,42400,2019
244,"Hollins University, Roanoke",VA,Liberal Arts,57,61,48535,28320,23067,81,37332,37000,2019
245,"Rockhurst University, Kansas City",MO,Private,77,62,45890,3209,20636,20,24971,47600,2019
246,"Duquesne University, Pittsburgh",PA,Private,73,65,46596,18059,10804,76,34522,54300,2019
247,"Loyola Marymount University, Los Angeles",CA,Private,53,69,58663,19402,9432,50,30243,55600,2019
248,"Belmont University, Nashville",TN,Private,83,56,40970,12096,7438,32,28306,39100,2019
249,"Louisiana Tech University, Ruston",LA,Public,65,30,33022,8375,3011,16,16855,41100,2019
250,"Southern Methodist University, Dallas",TX,Private,52,67,64765,19674,20479,49,34671,52200,2019
251,"Loyola University Chicago, Chicago",IL,Private,63,65,54936,18875,13220,52,31089,50600,2019
252,"University of Puget Sound, Tacoma",WA,Liberal Arts,79,68,57220,23410,14886,93,27776,51500,2019
253,"Auburn University, Auburn University",AL,Public,83,42,41824,7440,6903,27,27782,45400,2019
254,"LeTourneau University, Longview",TX,Private,49,35,39030,15122,8037,15,38211,50000,2019
255,"Ramapo College of New Jersey, Mahwah",NJ,Public,53,58,35603,9129,10921,15,29972,48700,2019
256,"Clarkson University, Potsdam",NY,Private,62,58,59890,29179,19191,74,28000,68400,2019
257,"Louisiana State University and Agricultural & Mechanical College, Baton Rouge",LA,Public,77,39,39577,10097,5098,20,22294,45900,2019
258,"Geneva College, Beaver Falls",PA,Private,71,53,36080,15189,9952,40,32673,37500,2019
259,"Rensselaer Polytechnic Institute, Troy",NY,Private,38,61,66172,28527,15860,70,41814,81700,2019
260,"Hanover College, Hanover",IN,Liberal Arts,64,66,46196,23577,18221,90,31004,44400,2019
261,"Rochester Institute of Technology, Rochester",NY,Private,57,30,49564,19000,10000,38,26000,56900,2019
262,"University of Louisville, Louisville",KY,Public,74,25,34192,8705,7908,20,23375,37700,2019
263,"Fairfield University, Fairfield",CT,Private,72,77,59545,15682,15452,55,27918,69000,2019
264,"Western Washington University, Bellingham",WA,Public,85,40,32421,9063,2020,3,21520,43200,2019
265,"Syracuse University, Syracuse",NY,Private,53,69,59610,26770,10290,21,34584,56600,2019
266,"Spelman College, Atlanta",GA,Liberal Arts,54,67,40751,14842,0,0,32910,46400,2019
267,"Fordham University, New York",NY,Private,48,75,64679,23883,14594,44,35170,55400,2019
268,"Valparaiso University, Valparaiso",IN,Private,82,60,47880,22433,13003,62,35449,48100,2019
269,"Seattle Pacific University, Seattle",WA,Private,83,60,48480,25947,20277,66,28844,43900,2019
270,"West Chester University of Pennsylvania, West Chester",PA,Public,53,44,29607,5562,4128,3,30881,46500,2019
271,"Saint Michael's College, Colchester",VT,Private,80,73,53005,21999,14525,64,36967,46300,2019
272,"Washington & Jefferson College, Washington",PA,Liberal Arts,42,72,55432,13270,15129,78,27000,49900,2019
273,"University of St. Thomas, St. Paul",MN,Private,87,60,48525,18352,15098,24,37131,54300,2019
274,"Centenary College of Louisiana, Shreveport",LA,Private,66,42,47450,21909,15863,98,27692,39300,2019
275,"University of Mississippi, University",MS,Public,81,37,32002,7563,7363,33,26443,40600,2019
276,"Loyola University Maryland, Baltimore",MD,Private,60,77,59925,22565,14675,27,34190,62100,2019
277,"University of Evansville, Evansville",IN,Private,83,53,45386,22778,17045,60,29441,40000,2019
278,"College at Brockport, State University of New York, Brockport",NY,Public,49,50,29944,5954,4010,4,27677,40100,2019
279,"Baldwin Wallace University, Berea",OH,Private,64,51,39792,16201,12080,48,32526,44000,2019
280,"Indiana University Bloomington, Bloomington",IN,Public,76,59,44765,10137,5446,36,27300,45300,2019
281,"Chapman University, Orange",CA,Private,47,58,62650,15842,17071,44,27979,51800,2019
282,"Texas Tech University, Lubbock",TX,Public,66,33,30872,7187,3289,14,27879,46100,2019
283,"Towson University, Towson",MD,Public,59,43,33506,8316,4867,10,25926,49500,2019
284,"Howard University, Washington",DC,Private,48,42,40784,7291,24835,25,32071,46500,2019
285,"Lipscomb University, Nashville",TN,Private,56,45,41156,3799,13435,61,30480,39000,2019
286,"St. John Fisher College, Rochester",NY,Private,68,61,43250,15060,10061,76,32982,44800,2019
287,"St. Bonaventure University, St. Bonaventure",NY,Private,70,55,43317,18899,12572,91,35627,45200,2019
288,"Rollins College, Winter Park",FL,Private,57,63,59914,26635,19134,55,26689,42200,2019
289,"Colorado State University, Fort Collins",CO,Public,80,40,39201,6749,4214,17,23721,44300,2019
290,"Georgia College & State University, Milledgeville",GA,Public,76,40,40630,4454,1610,3,22950,38500,2019
291,"University of Colorado Boulder, Boulder",CO,Public,84,46,49119,10380,10019,33,25126,48000,2019
292,"University of Iowa, Iowa City",IA,Public,81,48,38858,7623,4739,23,28716,48700,2019
293,"Bethel University, St. Paul",MN,Private,95,63,45060,18217,10497,49,33685,44000,2019
294,"University of Vermont, Burlington",VT,Public,73,65,51510,14736,8658,43,27276,44000,2019
295,"University of California, Santa Cruz, Santa Cruz",CA,Public,57,55,54760,18125,5887,13,22583,44600,2019
296,"Nazareth College of Rochester, Rochester",NY,Private,70,65,45803,15327,15594,70,35396,43900,2019
297,"Xavier University, Cincinnati",OH,Private,73,63,47460,15745,13774,69,34365,48800,2019
298,"University of California, Riverside, Riverside",CA,Public,58,44,55647,16766,12155,14,21166,48700,2019
299,"University of Arizona, Tucson",AZ,Public,75,40,43670,10726,8099,30,22761,44400,2019
300,"University of Oregon, Eugene",OR,Public,75,46,44877,7493,4014,21,24508,41600,2019
1,"Washington and Lee University, Lexington",VA,Liberal Arts,19,83,60081,41532,36293,14,22660,77398,2020
2,"Princeton University, Princeton",NJ,Private,7,93,58911,42009,0,0,6511,75090,2021
3,"Harvard University, Cambridge",MA,Private,7,89,61019,44521,20827,0,15406,87227,2021
4,"Davidson College, Davidson",NC,Liberal Arts,21,92,61427,37207,23834,15,21351,58600,2020
5,"Swarthmore College, Swarthmore",PA,Liberal Arts,16,84,62973,40221,37474,2,22150,48486,2021
6,"Vanderbilt University, Nashville",TN,Private,11,85,62011,40021,22372,20,20926,60507,2020
7,"Rice University, Houston",TX,Private,17,84,56343,34856,13730,21,22355,60158,2020
8,"Pomona College, Claremont",CA,Liberal Arts,14,89,62963,41537,0,0,16146,52931,2020
9,"Yale University, New Haven",CT,Private,8,83,62838,45808,0,0,15382,65317,2021
10,"University of North Carolina at Chapel Hill, Chapel Hill",NC,Public,26,85,45488,14804,6784,8,19695,49786,2020
11,"Duke University, Durham",NC,Private,9,85,65347,41873,20714,21,19932,76103,2021
12,"Kenyon College, Gambier",OH,Liberal Arts,25,90,62505,38013,13311,22,20604,44255,2020
13,"Williams College, Williamstown",MA,Liberal Arts,20,92,63234,43650,0,0,14422,58742,2020
14,"Wesleyan University, Middletown",CT,Liberal Arts,23,85,63458,41531,48032,1,22863,51014,2020
15,"California Institute of Technology, Pasadena",CA,Private,10,90,60254,37540,0,0,11813,73367,2021
16,"Middlebury College, Middlebury",VT,Liberal Arts,18,87,62106,39285,0,0,17631,53356,2021
17,"Massachusetts Institute of Technology, Cambridge",MA,Private,8,80,60896,37087,0,0,19243,91420,2021
18,"Grinnell College, Grinnell",IA,Liberal Arts,26,88,59936,37087,16968,45,16268,45178,2020
19,"Colgate University, Hamilton",NY,Liberal Arts,28,86,64500,41390,0,0,21784,61795,2020
20,"Amherst College, Amherst",MA,Liberal Arts,16,90,65697,47326,0,0,13786,57033,2020
21,"Stanford University, Stanford",CA,Private,5,75,61062,41646,8980,0,18700,81606,2020
22,"Thomas Aquinas College, Santa Paula",CA,Liberal Arts,83,66,31760,15841,0,0,16024,-390,2021
23,"Emory University, Atlanta",GA,Private,28,83,60922,37594,22538,5,24597,58139,2021
24,"University of Richmond, Richmond",VA,Liberal Arts,31,78,60169,37244,23692,28,22475,61477,2021
25,"Vassar College, Poughkeepsie",NY,Liberal Arts,24,88,63610,43023,0,0,17229,47128,2020
26,"Haverford College, Haverford",PA,Liberal Arts,23,93,65719,42552,0,0,15371,56497,2020
27,"Dartmouth College, Hanover",NH,Private,10,84,65961,42178,0,0,22236,66336,2020
28,"Bowdoin College, Brunswick",ME,Liberal Arts,15,82,63069,39033,1000,5,26167,54432,2020
29,"Wellesley College, Wellesley",MA,Liberal Arts,31,78,61739,39890,0,0,13291,56950,2021
30,"Carleton College, Northfield",MN,Liberal Arts,21,93,63659,33985,3095,15,18407,46042,2020
31,"Brown University, Providence",RI,Private,9,83,62692,40862,9452,0,23602,59818,2020
32,"Hamilton College, Clinton",NY,Liberal Arts,28,86,62552,38847,0,0,18704,57725,2020
33,"University of Pennsylvania, Philadelphia",PA,Private,9,82,65289,40044,0,0,20005,77788,2021
34,"Bates College, Lewiston",ME,Liberal Arts,25,82,62656,38897,0,0,19386,53707,2020
35,"Cornell University, Ithaca",NY,Private,12,90,62792,37604,0,0,21233,71241,2020
36,"Hillsdale College, Hillsdale",MI,Liberal Arts,52,73,35704,7942,5531,83,24859,700,2021
37,"Colorado College, Colorado Springs",CO,Liberal Arts,18,81,62020,38408,11554,11,20301,41942,2020
38,"Colby College, Waterville",ME,Liberal Arts,27,83,63259,41077,500,0,21872,52015,2020
39,"Wheaton College, Wheaton",IL,Liberal Arts,71,83,42895,20317,6428,37,25591,43177,2020
40,"Barnard College, New York",NY,Liberal Arts,22,85,64129,38811,0,0,18265,56487,2020
41,"Macalester College, St. Paul",MN,Liberal Arts,37,89,60577,34481,11856,26,24645,46120,2021
42,"University of Virginia, Charlottesville",VA,Public,27,88,55351,19383,7277,4,22333,57646,2020
43,"Smith College, Northampton",MA,Liberal Arts,42,86,61803,38335,15982,12,25093,43330,2021
44,"Whitman College, Walla Walla",WA,Liberal Arts,39,82,59745,28446,9104,55,19053,42080,2021
45,"Northwestern University, Evanston",IL,Private,14,83,65844,37596,2480,8,19721,65031,2021
46,"University of Notre Dame, Notre Dame",IN,Private,23,93,62208,32942,15804,12,27401,69245,2021
47,"Georgetown University, Washington",DC,Private,19,93,64981,36967,0,0,22877,82347,2020
48,"College of the Holy Cross, Worcester",MA,Liberal Arts,42,91,61359,32165,33808,4,28607,62862,2020
49,"Claremont McKenna College, Claremont",CA,Liberal Arts,11,82,64367,40392,15732,10,23669,63461,2020
50,"Harvey Mudd College, Claremont",CA,Liberal Arts,13,94,67405,35546,10546,46,24275,79321,2020
51,"Pitzer College, Claremont",CA,Liberal Arts,11,79,64041,35337,4687,1,19297,46114,2021
52,"University of Florida, Gainesville",FL,Public,49,70,40487,6793,2437,11,21339,50750,2020
53,"Johns Hopkins University, Baltimore",MD,Private,16,90,65693,34449,30165,3,23901,68263,2021
54,"Boston College, Chestnut Hill",MA,Private,32,92,64686,34639,19189,3,20460,67098,2021
55,"Centre College, Danville",KY,Liberal Arts,74,76,49955,25576,18766,89,26172,44471,2021
56,"Scripps College, Claremont",CA,Liberal Arts,26,81,65538,34851,19712,23,20500,46470,2020
57,"Washington University in St. Louis, St. Louis",MO,Private,15,90,65341,35639,8665,18,23845,62431,2020
58,"Principia College, Elsah",IL,Liberal Arts,81,72,39772,24607,22664,91,23391,460,2021
59,"Lafayette College, Easton",PA,Liberal Arts,31,90,63479,35405,23469,13,27185,69368,2020
60,"Sewanee: The University of the South, Sewanee",TN,Liberal Arts,66,73,50608,26235,10883,48,21196,38551,2020
61,"University of Minnesota, Twin Cities Campus, Minneapolis",MN,Public,44,58,32208,9371,4992,10,26302,48460,2021
62,"Brigham Young University, Provo",UT,Private,46,34,17964,4936,3944,37,14500,57013,2021
63,"St. Olaf College, Northfield",MN,Liberal Arts,49,89,53986,28611,13290,63,28509,45267,2020
64,"Tufts University, Medford",MA,Private,17,87,65951,37099,500,3,26535,68495,2021
65,"Truman State University, Kirksville",MO,Public,76,59,22865,6798,5322,60,23714,42688,2021
