Rank,Name,State,Type,Admit,Grad4,Cost,NeedAid,NonNeedAid,NNApercent,GradDebt,Salary,Year
162,"Tulane University, New Orleans",LA,Private,30,66,63940,28261,21325,37,31213,53207,2020
163,"Augustana College, Rock Island",IL,Liberal Arts,53,73,49026,20526,16568,95,31607,50184,2020
164,"James Madison University, Harrisonburg",VA,Public,65,63,36017,7515,3172,1,23382,53272,2021
165,"Samford University, Birmingham",AL,Private,81,50,38328,13977,9636,67,26788,46421,2020
166,"Butler University, Indianapolis",IN,Private,69,64,49495,18721,11979,82,35719,52452,2021
167,"University of Delaware, Newark",DE,Public,65,70,44114,8988,7037,38,32899,54629,2020
168,"University of Portland, Portland",OR,Private,61,71,52210,21962,14965,83,25889,50827,2021
169,"College of Saint Benedict, Saint Joseph",MN,Liberal Arts,82,75,51174,25683,15708,78,39987,46984,2020
170,"St. Mary's College of Maryland, St. Mary's City",MD,Public,81,72,42712,11038,4021,30,24308,48971,2021
171,"Sarah Lawrence College, Bronxville",NY,Liberal Arts,54,76,66843,34699,16582,63,18293,38959,2021
172,"University of WisconsinLa Crosse, La Crosse",WI,Public,75,32,21992,5711,1583,4,26376,44142,2021
173,"Hunter College of the City University of New York, New York",NY,Public,34,22,32971,6526,3152,7,13226,45403,2021
174,"American University, Washington",DC,Private,47,74,58490,22752,13989,21,31857,55464,2020
175,"New York University, New York",NY,Private,33,69,66671,24178,7512,9,28211,57986,2020
176,"Hendrix College, Conway",AR,Liberal Arts,84,60,53411,28911,25756,91,29959,40513,2021
177,"University of Maryland, Baltimore County, Baltimore",MD,Public,62,36,35849,7951,7964,20,25416,54273,2020
178,"University of Central Florida, Orlando",FL,Public,49,42,32654,4897,3459,5,23354,43669,2021
179,"Luther College, Decorah",IA,Liberal Arts,72,78,48014,22162,16062,33,36532,41777,2021
180,"Texas A&M University, College Station",TX,Public,70,47,40087,9304,3354,19,24305,52073,2021
181,"University of Missouri, Columbia",MO,Public,76,41,36744,8818,5065,29,24991,45506,2020
182,"University of California, Irvine, Irvine",CA,Public,35,67,54113,17249,8541,6,20950,56193,2021
183,"Saint John's University, Collegeville",MN,Liberal Arts,80,69,50034,25341,15184,74,37982,56758,2020
184,"University of Alabama, Tuscaloosa",AL,Public,53,39,35093,9265,12209,30,30031,41690,2020
185,"College of the Atlantic, Bar Harbor",ME,Liberal Arts,72,53,52326,31543,9693,44,24474,27387,2021
186,"Siena College, Loudonville",NY,Liberal Arts,57,71,43364,17459,7106,55,32733,55334,2020
187,"University of Arkansas, Fayetteville",AR,Public,63,32,32735,6696,4895,19,23573,43086,2021
188,"University of Northern Iowa, Cedar Falls",IA,Public,52,37,27275,4446,3378,18,23291,41684,2021
189,"University of Tulsa, Tulsa",OK,Private,38,55,52289,5905,17829,64,28800,44198,2021
190,"William Jewell College, Liberty",MO,Liberal Arts,65,58,41129,19677,15269,46,30502,39737,2021
191,"State University of New York College at Oneonta, Oneonta",NY,Public,42,53,29887,4642,2827,19,16024,41481,2021
192,"University of Dayton, Dayton",OH,Private,60,55,52803,20434,12540,63,34844,51335,2021
